transaction_date,user_id,transaction_id,product_amount,payment_category,is_churned
2023-08-19,USER_05159,4dac3ea3-6492-46ec-80b8-dc45c3ad0b14,1525.39,Non-QRIS (Cards),1
2023-08-19,USER_07204,a903ed9f-eb84-47e7-b8aa-fd1786c919cf,1495.40,QRIS (Wallet-based),1
2023-08-19,USER_00903,2a393013-733c-4add-9f09-bed1eeb33676,1267.71,QRIS (Wallet-based),1
2023-08-19,USER_01769,9a07ad19-4673-4794-9cd2-9b139f39c715,9202.63,Non-QRIS (Cards),1
2023-08-19,USER_03544,76418260-c985-4011-979d-0914604d0d68,3100.58,Non-QRIS (Cards),1
2023-08-19,USER_07548,2ee6c8d8-9e9e-47b6-95e8-932af851ca43,8430.75,QRIS (Wallet-based),1
2023-08-19,USER_05280,89df83e5-98d3-4c0f-b273-59b0d057fc34,6688.17,QRIS (Wallet-based),0
2023-08-19,USER_03459,1a8ab910-657a-4e57-90ec-90420290e8a1,1802.28,QRIS (Wallet-based),1
2023-08-19,USER_04329,48fc902d-0952-4a20-9d57-b54663affe79,4262.28,QRIS (Wallet-based),1
2023-08-19,USER_07264,19c7d2d5-8566-42ba-95aa-8d803cfeeffd,2207.90,QRIS (Wallet-based),0
2023-08-19,USER_00434,b7d8c70d-b6c8-433b-9f80-f9f5ce2d4fc4,3186.45,QRIS (Wallet-based),1
2023-08-19,USER_00723,28895ba8-e569-4de1-a8a7-4d24170569c0,403.20,Non-QRIS (Cards),1
2023-08-19,USER_01944,67709f94-e412-46f9-9358-c1203a7f4ade,9421.81,QRIS (Wallet-based),1
2023-08-19,USER_06471,2b99ee3a-d0a0-413f-a8c7-83c4976e4994,5297.09,QRIS (Wallet-based),1
2023-08-19,USER_01395,08bd39d8-56cc-4bdf-ae2f-9c515145290d,3101.18,QRIS (Bank-based),1
2023-08-19,USER_00384,08daafc2-28d9-4bed-a414-fd185a73216d,1440.26,Non-QRIS (Cards),1
2023-08-19,USER_00257,29e70ed2-53d7-4d3e-bfa4-a43a01b3c43a,2402.15,Non-QRIS (Cards),1
2023-08-19,USER_04931,b44347b1-6541-4e51-8d10-8c8290455a07,3595.19,QRIS (Wallet-based),0
2023-08-19,USER_05181,f0557048-85f4-48d1-a39f-c8820380254c,9930.71,Non-QRIS (Cards),1
2023-08-19,USER_07275,270daf0a-8051-4c9b-8391-130eb2072ea8,307.81,QRIS (Wallet-based),1
2023-08-19,USER_05710,333d21ec-009d-4791-a25f-727ba14174fb,8996.00,QRIS (Bank-based),1
2023-08-19,USER_03731,bb2a7fb0-ab50-4a32-8ebc-b914512ff56b,1558.03,Non-QRIS (Cards),1
2023-08-19,USER_01167,d447afd8-0001-4ea2-9e42-24e83d5ecd6a,2699.87,QRIS (Bank-based),1
2023-08-20,USER_06153,f8c53632-5ccb-4a8c-a48a-38ff20d1f05d,2991.37,Non-QRIS (Cards),1
2023-08-20,USER_01839,1314dd52-b80f-4b5f-9e4c-2834731a390e,5140.78,Non-QRIS (Cards),1
2023-08-20,USER_09865,1dab5c5f-d3fb-43de-a225-29c113d42a49,7076.38,QRIS (Wallet-based),0
2023-08-20,USER_05566,8bc5bb94-fead-469a-9a3a-50bd1ba3e5a7,2956.08,QRIS (Wallet-based),1
2023-08-20,USER_04900,37bf717f-c8f9-46c9-baf5-0d66ac683bab,6916.55,QRIS (Wallet-based),1
2023-08-20,USER_06975,dbf8a78a-9f24-433c-b917-216835e77971,5642.55,QRIS (Bank-based),1
2023-08-20,USER_08737,cdfbd280-df3c-4003-bf4c-c258705becff,9734.95,QRIS (Wallet-based),1
2023-08-20,USER_08347,9b904efa-3212-420a-a6be-dc81021c3e9d,1916.58,Non-QRIS (Cards),1
2023-08-20,USER_06829,077cfec0-22d4-4dec-95bd-eb2cc5d4c25e,2014.63,QRIS (Wallet-based),0
2023-08-20,USER_04117,b7ca9f03-f6e8-455e-844a-b91441255cc9,1296.33,Non-QRIS (Cards),0
2023-08-20,USER_06155,70f52836-0d7b-49f2-af0b-a390f87693a2,9313.74,QRIS (Bank-based),1
2023-08-20,USER_00051,d050b5a1-b31b-4c46-aa89-8c5a78200102,6734.22,QRIS (Wallet-based),1
2023-08-20,USER_00930,d081075a-7ada-47e5-a2d9-1e652a151d8f,1760.92,QRIS (Bank-based),0
2023-08-20,USER_03591,1d870c66-f544-4a8f-8533-ec11510773b1,5183.52,QRIS (Wallet-based),1
2023-08-20,USER_02590,3361b17a-9c0e-4ff3-8c2d-fd87a63d6110,8721.20,Non-QRIS (Cards),1
2023-08-20,USER_03043,a4fe9f29-a3f4-4516-a39f-861aa0cb60b7,7975.27,QRIS (Bank-based),1
2023-08-20,USER_03935,2ae5a3bb-d9d0-4f64-9922-04b8344108a5,5741.96,QRIS (Wallet-based),1
2023-08-20,USER_03336,bd51839f-7dd2-4d26-91e2-4504b79c1dde,2578.28,QRIS (Bank-based),1
2023-08-20,USER_03325,5c807c66-52ec-419c-aa5b-4daeec5a79cb,3855.29,QRIS (Wallet-based),1
2023-08-20,USER_03528,f4f1bf20-5851-4c25-a324-a5a948ecbbaa,1446.76,Non-QRIS (Cards),1
2023-08-21,USER_01473,6723ec06-5f83-4995-ad8f-aa055d8e317d,3090.15,Non-QRIS (Cards),1
2023-08-21,USER_03895,0a446f41-9c5a-4616-a6a8-ad692ed9d8a4,1203.62,Non-QRIS (Cards),0
2023-08-21,USER_00326,bbc20141-064b-4592-8deb-72212b113fd4,372.60,QRIS (Wallet-based),1
2023-08-21,USER_06052,64fb3179-c2e8-41e0-88f5-51ec4bfe8a3d,7393.64,QRIS (Bank-based),0
2023-08-21,USER_03700,8dd4359a-0f15-41d0-bee9-dbaeb54e62e7,6326.46,QRIS (Wallet-based),1
2023-08-21,USER_07984,569dcf7a-9e65-4271-9484-7acdc0f1118b,1044.85,Non-QRIS (Cards),1
2023-08-21,USER_04870,09c210a8-42b4-40e2-aea3-9d8496c372a0,408.34,Non-QRIS (Cards),1
2023-08-21,USER_04742,17ea2a26-9889-4de2-8741-cbed99695971,8783.03,QRIS (Bank-based),0
2023-08-21,USER_08741,8c0d75ff-a01b-48ac-aa8f-fd82cf56f061,9654.79,Non-QRIS (Cards),1
2023-08-21,USER_07974,55c48f2a-777c-4a79-b98f-ee1fc6c10cf5,4910.93,Non-QRIS (Cards),1
2023-08-21,USER_05484,877c0fc1-f7f6-4f54-b828-901899ee9f65,7012.40,QRIS (Wallet-based),1
2023-08-21,USER_07662,9b4312a2-70fb-41bc-b657-669f173027d9,6464.24,Non-QRIS (Cards),1
2023-08-21,USER_01404,20ca6543-cc63-4d1d-bab5-5cbcdf2f7bc4,9828.97,QRIS (Wallet-based),0
2023-08-21,USER_06644,866c66b0-7e40-4db9-8e6a-d719974e4a7a,4849.13,QRIS (Bank-based),0
2023-08-21,USER_03963,783022a5-7e76-4bb8-9fb0-586b7d59172c,7078.24,QRIS (Bank-based),1
2023-08-22,USER_02160,3044006d-778b-4cfa-8003-426759e482f9,748.75,Non-QRIS (Cards),1
2023-08-22,USER_00509,c64c9431-0700-4c10-922c-8d412684acd2,615.89,QRIS (Wallet-based),1
2023-08-22,USER_05421,5aca1931-8a08-4f72-9b91-c3f627f9b647,96.70,QRIS (Wallet-based),1
2023-08-22,USER_00536,a9356e2d-5f4e-487e-b812-6010c743745f,8716.70,QRIS (Wallet-based),1
2023-08-22,USER_03732,c6dbd684-88f7-4ecc-bd22-c674dbfb13d9,3771.14,QRIS (Wallet-based),1
2023-08-22,USER_00058,6d684943-0472-4f24-af22-afd72dbe8f0e,6031.60,QRIS (Wallet-based),1
2023-08-22,USER_01431,d3495957-02c3-41ed-b415-820289947cf6,8108.09,QRIS (Wallet-based),1
2023-08-22,USER_01569,5aa196df-d98e-434e-a144-0683843d614c,3424.46,QRIS (Wallet-based),1
2023-08-22,USER_09093,373e20b9-82d4-4168-ba6a-c5835c6d4bfa,2896.65,Non-QRIS (Cards),1
2023-08-22,USER_08679,8201b4a9-ba83-47eb-a947-677ddd79f1e7,9067.49,Non-QRIS (Cards),1
2023-08-22,USER_03820,6ea4a826-e48a-47e8-bbe4-0d61d35a6802,1188.69,QRIS (Wallet-based),1
2023-08-22,USER_03468,23b2fcb6-19ed-4fe8-837b-0c77ebd9644b,2938.73,QRIS (Bank-based),1
2023-08-23,USER_02224,10b08a73-c807-4140-8d70-e64e046f933e,2189.95,QRIS (Wallet-based),1
2023-08-23,USER_04519,bfa9798a-6936-458d-aa21-ce248ba57ab6,4691.67,Non-QRIS (Cards),1
2023-08-23,USER_00916,93778797-e651-416b-8b06-88e71120a455,857.92,Non-QRIS (Cards),1
2023-08-23,USER_06348,666d31da-1bce-435c-b3e9-ac338a4bbe63,8391.75,QRIS (Bank-based),1
2023-08-23,USER_01868,c3ffd155-2581-44be-8e4b-f5d78397e35e,9128.09,Non-QRIS (Cards),1
2023-08-23,USER_00724,5bfa32c5-0dfd-4a7f-98a0-41f75b4c5ac2,3426.77,Non-QRIS (Cards),1
2023-08-23,USER_09458,2a9477e4-7a41-41ef-ba5e-16d12b696609,8125.43,QRIS (Bank-based),1
2023-08-23,USER_06794,cc0ba380-73e8-4340-ad85-3d50bd9ccb5f,6496.05,QRIS (Bank-based),1
2023-08-23,USER_01317,937ea2bc-4d8d-4d1d-a9fd-4945d33e7cfc,1422.16,Non-QRIS (Cards),1
2023-08-23,USER_02077,f94efc68-227c-46ba-a6dd-d8706455aa39,7018.18,Non-QRIS (Cards),0
2023-08-23,USER_06845,0f0ee41a-c0cb-48cb-9e3a-466cb5cd374e,7061.81,Non-QRIS (Cards),1
2023-08-23,USER_02524,a0fbbff8-dd54-4897-b6b3-9992711bf576,4136.44,QRIS (Bank-based),1
2023-08-23,USER_05459,e204f872-24c1-4cd3-a98e-313027c7dd03,4527.36,Non-QRIS (Cards),1
2023-08-23,USER_06965,fe525678-2715-4b45-9ec6-9f5db92547bb,7892.35,Non-QRIS (Cards),1
2023-08-24,USER_02936,b2c258bb-ba9c-42d1-9419-76847927d525,2668.82,QRIS (Wallet-based),1
2023-08-24,USER_00889,d897b708-d59b-4b23-bded-0a24f5a4e0fa,8739.50,QRIS (Bank-based),1
2023-08-24,USER_02268,7b68998f-2aaf-4733-b873-1a46fa2c56f5,5080.37,Non-QRIS (Cards),0
2023-08-24,USER_06110,6faef832-98c9-435b-8e2d-e0950486c941,8451.05,Non-QRIS (Cards),1
2023-08-24,USER_06578,46447c57-cf75-4128-8487-802e3111104c,12.86,Non-QRIS (Cards),1
2023-08-24,USER_03529,dbdd2a0c-4e9c-4953-99ce-3d3eb5298798,1445.33,Non-QRIS (Cards),1
2023-08-24,USER_03485,4cf9c225-0e97-4ad4-8e42-9e70029004fa,3635.80,Non-QRIS (Cards),1
2023-08-24,USER_00515,722acc23-f00b-4f1e-ba1a-ce5141b93df0,9480.13,Non-QRIS (Cards),1
2023-08-24,USER_02129,47c2aa95-9d76-45bd-a9cc-8b0ca46ab633,7517.70,QRIS (Wallet-based),1
2023-08-24,USER_08642,9d9503cd-cdd8-445d-88ca-5323bc6fa8f4,2207.77,QRIS (Wallet-based),1
